iana_name,standard_abbr,iana_group_abbr,iana_group,windows_id,windows_name,windows_display,windows_group_id,windows_group_name,windows_group_display,closest_windows_display
America/Argentina/Catamarca,-03,-03,America/Sao_Paulo,NA,NA,NA,910,E. South America Standard Time,(UTC-03:00) Brasilia,(UTC-03:00) Brasilia
America/Argentina/ComodRivadavia,-03,-03,America/Sao_Paulo,NA,NA,NA,910,E. South America Standard Time,(UTC-03:00) Brasilia,(UTC-03:00) Brasilia
America/Argentina/Cordoba,-03,-03,America/Sao_Paulo,NA,NA,NA,910,E. South America Standard Time,(UTC-03:00) Brasilia,(UTC-03:00) Brasilia
America/Argentina/Jujuy,-03,-03,America/Sao_Paulo,NA,NA,NA,910,E. South America Standard Time,(UTC-03:00) Brasilia,(UTC-03:00) Brasilia
America/Argentina/La_Rioja,-03,-03,America/Sao_Paulo,950,Argentina Standard Time,(UTC-03:00) Buenos Aires,910,E. South America Standard Time,(UTC-03:00) Brasilia,(UTC-03:00) Buenos Aires
America/Argentina/Mendoza,-03,-03,America/Sao_Paulo,NA,NA,NA,910,E. South America Standard Time,(UTC-03:00) Brasilia,(UTC-03:00) Brasilia
America/Argentina/Rio_Gallegos,-03,-03,America/Sao_Paulo,950,Argentina Standard Time,(UTC-03:00) Buenos Aires,910,E. South America Standard Time,(UTC-03:00) Brasilia,(UTC-03:00) Buenos Aires
America/Argentina/Salta,-03,-03,America/Sao_Paulo,950,Argentina Standard Time,(UTC-03:00) Buenos Aires,910,E. South America Standard Time,(UTC-03:00) Brasilia,(UTC-03:00) Buenos Aires
America/Argentina/San_Juan,-03,-03,America/Sao_Paulo,950,Argentina Standard Time,(UTC-03:00) Buenos Aires,910,E. South America Standard Time,(UTC-03:00) Brasilia,(UTC-03:00) Buenos Aires
America/Argentina/San_Luis,-03,-03,America/Sao_Paulo,950,Argentina Standard Time,(UTC-03:00) Buenos Aires,910,E. South America Standard Time,(UTC-03:00) Brasilia,(UTC-03:00) Buenos Aires
America/Argentina/Tucuman,-03,-03,America/Sao_Paulo,950,Argentina Standard Time,(UTC-03:00) Buenos Aires,910,E. South America Standard Time,(UTC-03:00) Brasilia,(UTC-03:00) Buenos Aires
America/Argentina/Ushuaia,-03,-03,America/Sao_Paulo,950,Argentina Standard Time,(UTC-03:00) Buenos Aires,910,E. South America Standard Time,(UTC-03:00) Brasilia,(UTC-03:00) Buenos Aires
America/Aruba,AST,-04,America/Caracas,830,SA Western Standard Time,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",840,Venezuela Standard Time,(UTC-04:30) Caracas,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan"
America/Atikokan,ET,-05,America/Lima,NA,NA,NA,710,SA Pacific Standard Time,"(UTC-05:00) Bogota, Lima, Quito","(UTC-05:00) Bogota, Lima, Quito"
America/Bahia,-03,-03,America/Sao_Paulo,NA,NA,NA,910,E. South America Standard Time,(UTC-03:00) Brasilia,(UTC-03:00) Brasilia
America/Bahia_Banderas,CT,CT,America/Mexico_City,630,Central Standard Time (Mexico),"((UTC-06:00) Guadalajara, Mexico City, Monterrey",630,Central Standard Time (Mexico),"((UTC-06:00) Guadalajara, Mexico City, Monterrey","((UTC-06:00) Guadalajara, Mexico City, Monterrey"
America/Barbados,AST,-04,America/Caracas,830,SA Western Standard Time,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",840,Venezuela Standard Time,(UTC-04:30) Caracas,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan"
America/Belem,-03,-03,America/Sao_Paulo,940,SA Eastern Standard Time,"(UTC-03:00) Cayenne, Fortaleza",910,E. South America Standard Time,(UTC-03:00) Brasilia,"(UTC-03:00) Cayenne, Fortaleza"
America/Belize,CT,CT,America/Mexico_City,610,Central America Standard Time,(UTC-06:00) Central America,630,Central Standard Time (Mexico),"((UTC-06:00) Guadalajara, Mexico City, Monterrey",(UTC-06:00) Central America
America/Blanc-Sablon,AST,-04,America/Caracas,830,SA Western Standard Time,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",840,Venezuela Standard Time,(UTC-04:30) Caracas,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan"
America/Boa_Vista,-04,-04,America/Caracas,830,SA Western Standard Time,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",840,Venezuela Standard Time,(UTC-04:30) Caracas,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan"
America/Bogota,-05,-05,America/Lima,710,SA Pacific Standard Time,"(UTC-05:00) Bogota, Lima, Quito",710,SA Pacific Standard Time,"(UTC-05:00) Bogota, Lima, Quito","(UTC-05:00) Bogota, Lima, Quito"
America/Boise,MT,MT,America/Denver,500,Mountain Standard Time,(UTC-07:00) Mountain Time (US and Canada),500,Mountain Standard Time,(UTC-07:00) Mountain Time (US and Canada),(UTC-07:00) Mountain Time (US and Canada)
America/Buenos_Aires,-03,-03,America/Sao_Paulo,950,Argentina Standard Time,(UTC-03:00) Buenos Aires,910,E. South America Standard Time,(UTC-03:00) Brasilia,(UTC-03:00) Buenos Aires
America/Cambridge_Bay,MT,MT,America/Denver,500,Mountain Standard Time,(UTC-07:00) Mountain Time (US and Canada),500,Mountain Standard Time,(UTC-07:00) Mountain Time (US and Canada),(UTC-07:00) Mountain Time (US and Canada)
America/Campo_Grande,-04,-04,America/Caracas,810,Central Brazilian Standard Time,(UTC-04:00) Cuiaba,840,Venezuela Standard Time,(UTC-04:30) Caracas,(UTC-04:00) Cuiaba
America/Cancun,ET,-05,America/Lima,NA,NA,NA,710,SA Pacific Standard Time,"(UTC-05:00) Bogota, Lima, Quito","(UTC-05:00) Bogota, Lima, Quito"
America/Catamarca,-03,-03,America/Sao_Paulo,950,Argentina Standard Time,(UTC-03:00) Buenos Aires,910,E. South America Standard Time,(UTC-03:00) Brasilia,(UTC-03:00) Buenos Aires
America/Cayenne,-03,-03,America/Sao_Paulo,940,SA Eastern Standard Time,"(UTC-03:00) Cayenne, Fortaleza",910,E. South America Standard Time,(UTC-03:00) Brasilia,"(UTC-03:00) Cayenne, Fortaleza"
America/Cayman,ET,-05,America/Lima,710,SA Pacific Standard Time,"(UTC-05:00) Bogota, Lima, Quito",710,SA Pacific Standard Time,"(UTC-05:00) Bogota, Lima, Quito","(UTC-05:00) Bogota, Lima, Quito"
America/Chihuahua,CT,CT,America/Mexico_City,630,Central Standard Time (Mexico),"((UTC-06:00) Guadalajara, Mexico City, Monterrey",630,Central Standard Time (Mexico),"((UTC-06:00) Guadalajara, Mexico City, Monterrey","((UTC-06:00) Guadalajara, Mexico City, Monterrey"
America/Ciudad_Juarez,MT,MT,America/Denver,500,Mountain Standard Time,(UTC-07:00) Mountain Time (US and Canada),500,Mountain Standard Time,(UTC-07:00) Mountain Time (US and Canada),(UTC-07:00) Mountain Time (US and Canada)
America/Coral_Harbour,ET,-05,America/Lima,710,SA Pacific Standard Time,"(UTC-05:00) Bogota, Lima, Quito",710,SA Pacific Standard Time,"(UTC-05:00) Bogota, Lima, Quito","(UTC-05:00) Bogota, Lima, Quito"
America/Cordoba,-03,-03,America/Sao_Paulo,950,Argentina Standard Time,(UTC-03:00) Buenos Aires,910,E. South America Standard Time,(UTC-03:00) Brasilia,(UTC-03:00) Buenos Aires
America/Costa_Rica,CT,CT,America/Mexico_City,610,Central America Standard Time,(UTC-06:00) Central America,630,Central Standard Time (Mexico),"((UTC-06:00) Guadalajara, Mexico City, Monterrey",(UTC-06:00) Central America
America/Creston,MT,MT,America/Phoenix,520,US Mountain Standard Time,(UTC-07:00) Arizona,520,US Mountain Standard Time,(UTC-07:00) Arizona,(UTC-07:00) Arizona
America/Cuiaba,-04,-04,America/Caracas,810,Central Brazilian Standard Time,(UTC-04:00) Cuiaba,840,Venezuela Standard Time,(UTC-04:30) Caracas,(UTC-04:00) Cuiaba
America/Curacao,AST,-04,America/Caracas,830,SA Western Standard Time,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",840,Venezuela Standard Time,(UTC-04:30) Caracas,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan"
America/Danmarkshavn,GMT,GMT,Africa/Abidjan,1210,Greenwich Standard Time,"(UTC) Monrovia, Reykjavik",1210,Greenwich Standard Time,"(UTC) Monrovia, Reykjavik","(UTC) Monrovia, Reykjavik"
America/Dawson,MT,MT,America/Phoenix,NA,NA,NA,520,US Mountain Standard Time,(UTC-07:00) Arizona,(UTC-07:00) Arizona
America/Dawson_Creek,MT,MT,America/Phoenix,520,US Mountain Standard Time,(UTC-07:00) Arizona,520,US Mountain Standard Time,(UTC-07:00) Arizona,(UTC-07:00) Arizona
America/Detroit,ET,ET,America/New_York,700,Eastern Standard Time,(UTC-05:00) Eastern Time (US and Canada),700,Eastern Standard Time,(UTC-05:00) Eastern Time (US and Canada),(UTC-05:00) Eastern Time (US and Canada)
America/Dominica,AST,-04,America/Caracas,830,SA Western Standard Time,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",840,Venezuela Standard Time,(UTC-04:30) Caracas,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan"
America/Edmonton,MT,MT,America/Denver,500,Mountain Standard Time,(UTC-07:00) Mountain Time (US and Canada),500,Mountain Standard Time,(UTC-07:00) Mountain Time (US and Canada),(UTC-07:00) Mountain Time (US and Canada)
America/Eirunepe,-05,-05,America/Lima,710,SA Pacific Standard Time,"(UTC-05:00) Bogota, Lima, Quito",710,SA Pacific Standard Time,"(UTC-05:00) Bogota, Lima, Quito","(UTC-05:00) Bogota, Lima, Quito"
America/El_Salvador,CT,CT,America/Mexico_City,610,Central America Standard Time,(UTC-06:00) Central America,630,Central Standard Time (Mexico),"((UTC-06:00) Guadalajara, Mexico City, Monterrey",(UTC-06:00) Central America
America/Ensenada,PT,PT,America/Los_Angeles,NA,NA,NA,400,Pacific Standard Time,(UTC-08:00) Pacific Time (US and Canada),(UTC-08:00) Pacific Time (US and Canada)
America/Fort_Nelson,MT,MT,America/Phoenix,520,US Mountain Standard Time,(UTC-07:00) Arizona,520,US Mountain Standard Time,(UTC-07:00) Arizona,(UTC-07:00) Arizona
America/Fort_Wayne,ET,ET,America/New_York,NA,NA,NA,700,Eastern Standard Time,(UTC-05:00) Eastern Time (US and Canada),(UTC-05:00) Eastern Time (US and Canada)
America/Fortaleza,-03,-03,America/Sao_Paulo,940,SA Eastern Standard Time,"(UTC-03:00) Cayenne, Fortaleza",910,E. South America Standard Time,(UTC-03:00) Brasilia,"(UTC-03:00) Cayenne, Fortaleza"
America/Glace_Bay,AST,AST,America/Halifax,800,Atlantic Standard Time,(UTC-04:00) Atlantic Time (Canada),800,Atlantic Standard Time,(UTC-04:00) Atlantic Time (Canada),(UTC-04:00) Atlantic Time (Canada)
America/Goose_Bay,AST,AST,America/Halifax,800,Atlantic Standard Time,(UTC-04:00) Atlantic Time (Canada),800,Atlantic Standard Time,(UTC-04:00) Atlantic Time (Canada),(UTC-04:00) Atlantic Time (Canada)
America/Grand_Turk,ET,ET,America/New_York,NA,NA,NA,700,Eastern Standard Time,(UTC-05:00) Eastern Time (US and Canada),(UTC-05:00) Eastern Time (US and Canada)
America/Grenada,AST,-04,America/Caracas,830,SA Western Standard Time,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",840,Venezuela Standard Time,(UTC-04:30) Caracas,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan"
America/Guadeloupe,AST,-04,America/Caracas,830,SA Western Standard Time,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",840,Venezuela Standard Time,(UTC-04:30) Caracas,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan"
America/Guatemala,CT,CT,America/Mexico_City,610,Central America Standard Time,(UTC-06:00) Central America,630,Central Standard Time (Mexico),"((UTC-06:00) Guadalajara, Mexico City, Monterrey",(UTC-06:00) Central America
America/Guayaquil,-05,-05,America/Lima,710,SA Pacific Standard Time,"(UTC-05:00) Bogota, Lima, Quito",710,SA Pacific Standard Time,"(UTC-05:00) Bogota, Lima, Quito","(UTC-05:00) Bogota, Lima, Quito"
America/Guyana,-04,-04,America/Caracas,830,SA Western Standard Time,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",840,Venezuela Standard Time,(UTC-04:30) Caracas,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan"
America/Hermosillo,MT,MT,America/Phoenix,520,US Mountain Standard Time,(UTC-07:00) Arizona,520,US Mountain Standard Time,(UTC-07:00) Arizona,(UTC-07:00) Arizona
America/Indiana/Indianapolis,ET,ET,America/New_York,NA,NA,NA,700,Eastern Standard Time,(UTC-05:00) Eastern Time (US and Canada),(UTC-05:00) Eastern Time (US and Canada)
America/Indiana/Knox,CT,CT,America/Chicago,620,Central Standard Time,(UTC-06:00) Central Time (US and Canada),620,Central Standard Time,(UTC-06:00) Central Time (US and Canada),(UTC-06:00) Central Time (US and Canada)
America/Indiana/Marengo,ET,ET,America/New_York,720,US Eastern Standard Time,(UTC-05:00) Indiana (East),700,Eastern Standard Time,(UTC-05:00) Eastern Time (US and Canada),(UTC-05:00) Indiana (East)
America/Indiana/Petersburg,ET,ET,America/New_York,700,Eastern Standard Time,(UTC-05:00) Eastern Time (US and Canada),700,Eastern Standard Time,(UTC-05:00) Eastern Time (US and Canada),(UTC-05:00) Eastern Time (US and Canada)
America/Indiana/Tell_City,CT,CT,America/Chicago,620,Central Standard Time,(UTC-06:00) Central Time (US and Canada),620,Central Standard Time,(UTC-06:00) Central Time (US and Canada),(UTC-06:00) Central Time (US and Canada)
America/Indiana/Vevay,ET,ET,America/New_York,720,US Eastern Standard Time,(UTC-05:00) Indiana (East),700,Eastern Standard Time,(UTC-05:00) Eastern Time (US and Canada),(UTC-05:00) Indiana (East)
America/Indiana/Vincennes,ET,ET,America/New_York,700,Eastern Standard Time,(UTC-05:00) Eastern Time (US and Canada),700,Eastern Standard Time,(UTC-05:00) Eastern Time (US and Canada),(UTC-05:00) Eastern Time (US and Canada)
America/Indiana/Winamac,ET,ET,America/New_York,700,Eastern Standard Time,(UTC-05:00) Eastern Time (US and Canada),700,Eastern Standard Time,(UTC-05:00) Eastern Time (US and Canada),(UTC-05:00) Eastern Time (US and Canada)
America/Indianapolis,ET,ET,America/New_York,720,US Eastern Standard Time,(UTC-05:00) Indiana (East),700,Eastern Standard Time,(UTC-05:00) Eastern Time (US and Canada),(UTC-05:00) Indiana (East)
America/Inuvik,MT,MT,America/Denver,500,Mountain Standard Time,(UTC-07:00) Mountain Time (US and Canada),500,Mountain Standard Time,(UTC-07:00) Mountain Time (US and Canada),(UTC-07:00) Mountain Time (US and Canada)
America/Iqaluit,ET,ET,America/New_York,700,Eastern Standard Time,(UTC-05:00) Eastern Time (US and Canada),700,Eastern Standard Time,(UTC-05:00) Eastern Time (US and Canada),(UTC-05:00) Eastern Time (US and Canada)
America/Jamaica,ET,-05,America/Lima,710,SA Pacific Standard Time,"(UTC-05:00) Bogota, Lima, Quito",710,SA Pacific Standard Time,"(UTC-05:00) Bogota, Lima, Quito","(UTC-05:00) Bogota, Lima, Quito"
America/Jujuy,-03,-03,America/Sao_Paulo,950,Argentina Standard Time,(UTC-03:00) Buenos Aires,910,E. South America Standard Time,(UTC-03:00) Brasilia,(UTC-03:00) Buenos Aires
America/Juneau,AKST,AKST,America/Anchorage,300,Alaskan Standard Time,(UTC-09:00) Alaska,300,Alaskan Standard Time,(UTC-09:00) Alaska,(UTC-09:00) Alaska
America/Kentucky/Louisville,ET,ET,America/New_York,NA,NA,NA,700,Eastern Standard Time,(UTC-05:00) Eastern Time (US and Canada),(UTC-05:00) Eastern Time (US and Canada)
America/Kentucky/Monticello,ET,ET,America/New_York,700,Eastern Standard Time,(UTC-05:00) Eastern Time (US and Canada),700,Eastern Standard Time,(UTC-05:00) Eastern Time (US and Canada),(UTC-05:00) Eastern Time (US and Canada)
America/Knox_IN,CT,CT,America/Chicago,NA,NA,NA,620,Central Standard Time,(UTC-06:00) Central Time (US and Canada),(UTC-06:00) Central Time (US and Canada)
America/Kralendijk,AST,-04,America/Caracas,830,SA Western Standard Time,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",840,Venezuela Standard Time,(UTC-04:30) Caracas,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan"
America/La_Paz,-04,-04,America/Caracas,830,SA Western Standard Time,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",840,Venezuela Standard Time,(UTC-04:30) Caracas,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan"
America/Louisville,ET,ET,America/New_York,700,Eastern Standard Time,(UTC-05:00) Eastern Time (US and Canada),700,Eastern Standard Time,(UTC-05:00) Eastern Time (US and Canada),(UTC-05:00) Eastern Time (US and Canada)
America/Lower_Princes,AST,-04,America/Caracas,830,SA Western Standard Time,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",840,Venezuela Standard Time,(UTC-04:30) Caracas,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan"
America/Maceio,-03,-03,America/Sao_Paulo,940,SA Eastern Standard Time,"(UTC-03:00) Cayenne, Fortaleza",910,E. South America Standard Time,(UTC-03:00) Brasilia,"(UTC-03:00) Cayenne, Fortaleza"
America/Managua,CT,CT,America/Mexico_City,610,Central America Standard Time,(UTC-06:00) Central America,630,Central Standard Time (Mexico),"((UTC-06:00) Guadalajara, Mexico City, Monterrey",(UTC-06:00) Central America
America/Manaus,-04,-04,America/Caracas,830,SA Western Standard Time,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",840,Venezuela Standard Time,(UTC-04:30) Caracas,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan"
America/Marigot,AST,-04,America/Caracas,830,SA Western Standard Time,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",840,Venezuela Standard Time,(UTC-04:30) Caracas,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan"
America/Martinique,AST,-04,America/Caracas,830,SA Western Standard Time,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",840,Venezuela Standard Time,(UTC-04:30) Caracas,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan"
America/Matamoros,CT,CT,America/Chicago,620,Central Standard Time,(UTC-06:00) Central Time (US and Canada),620,Central Standard Time,(UTC-06:00) Central Time (US and Canada),(UTC-06:00) Central Time (US and Canada)
America/Mazatlan,MT,MT,America/Phoenix,510,Mountain Standard Time (Mexico),"(UTC-07:00) Chihuahua, La Paz, Mazatlan",520,US Mountain Standard Time,(UTC-07:00) Arizona,"(UTC-07:00) Chihuahua, La Paz, Mazatlan"
America/Mendoza,-03,-03,America/Sao_Paulo,950,Argentina Standard Time,(UTC-03:00) Buenos Aires,910,E. South America Standard Time,(UTC-03:00) Brasilia,(UTC-03:00) Buenos Aires
America/Menominee,CT,CT,America/Chicago,620,Central Standard Time,(UTC-06:00) Central Time (US and Canada),620,Central Standard Time,(UTC-06:00) Central Time (US and Canada),(UTC-06:00) Central Time (US and Canada)
America/Merida,CT,CT,America/Mexico_City,630,Central Standard Time (Mexico),"((UTC-06:00) Guadalajara, Mexico City, Monterrey",630,Central Standard Time (Mexico),"((UTC-06:00) Guadalajara, Mexico City, Monterrey","((UTC-06:00) Guadalajara, Mexico City, Monterrey"
America/Metlakatla,AKST,AKST,America/Anchorage,300,Alaskan Standard Time,(UTC-09:00) Alaska,300,Alaskan Standard Time,(UTC-09:00) Alaska,(UTC-09:00) Alaska
America/Moncton,AST,AST,America/Halifax,800,Atlantic Standard Time,(UTC-04:00) Atlantic Time (Canada),800,Atlantic Standard Time,(UTC-04:00) Atlantic Time (Canada),(UTC-04:00) Atlantic Time (Canada)
America/Monterrey,CT,CT,America/Mexico_City,630,Central Standard Time (Mexico),"((UTC-06:00) Guadalajara, Mexico City, Monterrey",630,Central Standard Time (Mexico),"((UTC-06:00) Guadalajara, Mexico City, Monterrey","((UTC-06:00) Guadalajara, Mexico City, Monterrey"
America/Montevideo,-03,-03,America/Sao_Paulo,930,Montevideo Standard Time,(UTC-03:00) Montevideo,910,E. South America Standard Time,(UTC-03:00) Brasilia,(UTC-03:00) Montevideo
America/Montreal,ET,ET,America/New_York,NA,NA,NA,700,Eastern Standard Time,(UTC-05:00) Eastern Time (US and Canada),(UTC-05:00) Eastern Time (US and Canada)
America/Montserrat,AST,-04,America/Caracas,830,SA Western Standard Time,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",840,Venezuela Standard Time,(UTC-04:30) Caracas,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan"
America/Nassau,ET,ET,America/New_York,700,Eastern Standard Time,(UTC-05:00) Eastern Time (US and Canada),700,Eastern Standard Time,(UTC-05:00) Eastern Time (US and Canada),(UTC-05:00) Eastern Time (US and Canada)
America/Nipigon,ET,ET,America/New_York,NA,NA,NA,700,Eastern Standard Time,(UTC-05:00) Eastern Time (US and Canada),(UTC-05:00) Eastern Time (US and Canada)
America/Nome,AKST,AKST,America/Anchorage,300,Alaskan Standard Time,(UTC-09:00) Alaska,300,Alaskan Standard Time,(UTC-09:00) Alaska,(UTC-09:00) Alaska
America/North_Dakota/Beulah,CT,CT,America/Chicago,620,Central Standard Time,(UTC-06:00) Central Time (US and Canada),620,Central Standard Time,(UTC-06:00) Central Time (US and Canada),(UTC-06:00) Central Time (US and Canada)
America/North_Dakota/Center,CT,CT,America/Chicago,620,Central Standard Time,(UTC-06:00) Central Time (US and Canada),620,Central Standard Time,(UTC-06:00) Central Time (US and Canada),(UTC-06:00) Central Time (US and Canada)
